,ovro_name,cgrabs_name,3FGL_name,Clean_3lac,3LAC,flux_int,n_flux,n_uplim,4FGL_name,4FGLDR2_RAJ2000,4FGLDR2_DEJ2000,4FGLDR2_ROI_num
73,PKS1509+022,,3FGL J1512.2+0202,Y,Y,3.117478,46,2,4FGL J1512.2+0202 ,228.07020568847656,2.040299892425537,768
74,J2323-0317,J2323-0317,3FGL J2323.5-0315,Y,Y,5.193766,46,2,4FGL J2323.5-0317 ,350.8883972167969,-3.2899999618530273,798
75,J2229-0832,J2229-0832,3FGL J2229.7-0833,Y,Y,12.41574,46,2,4FGL J2229.7-0832 ,337.4258117675781,-8.544699668884277,1052
76,J1725+1152,J1725+1152,3FGL J1725.0+1152,Y,Y,4.312905,46,2,4FGL J1725.0+1152 ,261.27130126953125,11.874799728393555,707
77,J1327+2210,J1327+2210,3FGL J1326.8+2211,Y,Y,4.232789,46,2,4FGL J1326.9+2210 ,201.72950744628906,22.173200607299805,1106
78,J1310+3220,J1310+3220,3FGL J1310.6+3222,Y,Y,6.067276,46,2,4FGL J1310.5+3221 ,197.6324005126953,32.354698181152344,1310
79,J1222+0413,J1222+0413,3FGL J1222.4+0414,Y,Y,7.500795,46,2,4FGL J1222.5+0414 ,185.62710571289062,4.238900184631348,892
80,J0948+0022,J0948+0022,3FGL J0948.8+0021,Y,Y,11.81571,46,2,4FGL J0948.9+0022 ,147.24429321289062,0.3716999888420105,321
81,J0920+4441,J0920+4441,3FGL J0920.9+4442,Y,Y,10.505581,46,2,4FGL J0920.9+4441 ,140.22909545898438,44.69900131225586,1497
82,J0909+0121,J0909+0121,3FGL J0909.1+0121,Y,Y,9.610201,46,2,4FGL J0909.1+0121 ,137.2967071533203,1.3557000160217285,1001
83,J0339-0146,J0339-0146,3FGL J0339.5-0146,Y,Y,7.889251,46,2,4FGL J0339.5-0146 ,54.87710189819336,-1.776900053024292,84
84,J0221+3556,J0221+3556,3FGL J0221.1+3556,Y,Y,9.267871,46,2,4FGL J0221.1+3556 ,35.28099822998047,35.9359016418457,1089
85,J0136+4751,J0136+4751,3FGL J0137.0+4752,Y,Y,8.345779,46,2,4FGL J0137.0+4751 ,24.260299682617188,47.86370086669922,1361
86,C2121+1901,,3FGL J2121.0+1901,Y,Y,3.037867,46,2,4FGL J2121.0+1901 ,320.2597961425781,19.032400131225586,1284
87,C2025-0735,,3FGL J2025.6-0736,Y,Y,12.652485,46,2,4FGL J2025.6-0735 ,306.4219970703125,-7.5945000648498535,1220
88,C1607+1551,,3FGL J1607.0+1551,Y,Y,3.639934,46,2,4FGL J1607.0+1550 ,241.77450561523438,15.84469985961914,1508
89,C1345+4452,,3FGL J1345.6+4453,Y,Y,11.424081,46,2,4FGL J1345.5+4453 ,206.3939971923828,44.8843994140625,1383
90,C1243+3627,,3FGL J1243.1+3627,Y,Y,1.191463,46,2,4FGL J1243.2+3627 ,190.8115997314453,36.458499908447266,1295
91,0502+675,,3FGL J0508.0+6736,Y,Y,0.778178,46,2,4FGL J0507.9+6737 ,76.99559783935547,67.62229919433594,863
